,N,M,Method,Error,Computation Time
390,64,20,Scipy,0.0,0.0009975433349609375
391,64,30,Arnoldi,6.863544743039983e-16,0.00558774471282959
392,64,40,Lanzcos,8.551746886645107e-16,0.003889131546020508
393,64,50,Scipy,0.0,0.0009975433349609375
394,64,60,Arnoldi,6.863544743039983e-16,0.0158597469329834
395,64,70,Lanzcos,,
396,64,80,Scipy,,
397,64,90,Arnoldi,,
398,64,100,Lanzcos,,
399,128,1,Scipy,0.0,0.0009975433349609375
400,128,2,Arnoldi,4.374024666600961e-08,0.0011968135833740235
401,128,3,Lanzcos,1.968040140114296e-13,0.001494121551513672
402,128,4,Scipy,0.0,0.0009975433349609375
403,128,5,Arnoldi,1.212144778414922e-15,0.0014988183975219727
404,128,6,Lanzcos,8.91663053790526e-16,0.001992464065551758
405,128,7,Scipy,0.0,0.0009975433349609375
406,128,8,Arnoldi,1.212144778414922e-15,0.0017975807189941407
407,128,9,Lanzcos,1.5430470142950994e-15,0.0019945859909057616
408,128,10,Scipy,0.0,0.0009975433349609375
409,128,20,Arnoldi,1.212144778414922e-15,0.0033907175064086916
410,128,30,Lanzcos,1.5430470142950994e-15,0.0034906625747680663
411,128,40,Scipy,0.0,0.0009975433349609375
412,128,50,Arnoldi,1.212144778414922e-15,0.012665295600891113
413,128,60,Lanzcos,8.91663053790526e-16,0.0057844877243041996
414,128,70,Scipy,0.0,0.0009975433349609375
415,128,80,Arnoldi,1.212144778414922e-15,0.028523683547973633
416,128,90,Lanzcos,8.91663053790526e-16,0.008477330207824707
417,128,100,Scipy,0.0,0.0009975433349609375
418,128,1,Arnoldi,0.00046972187629594757,0.0007004261016845704
419,128,2,Lanzcos,1.0438734806922891e-08,0.0011967897415161132
420,128,3,Scipy,0.0,0.0009975433349609375
421,128,4,Arnoldi,1.2115935167949861e-15,0.0012989044189453125
422,128,5,Lanzcos,1.5430470142950994e-15,0.0016978263854980468
423,128,6,Scipy,0.0,0.0009975433349609375
424,128,7,Arnoldi,1.212144778414922e-15,0.001495957374572754
425,128,8,Lanzcos,8.91663053790526e-16,0.0018972158432006836
426,128,9,Scipy,0.0,0.0009975433349609375
427,128,10,Arnoldi,1.212144778414922e-15,0.005086302757263184
428,128,20,Lanzcos,8.91663053790526e-16,0.0030916929244995117
429,128,30,Scipy,0.0,0.0009975433349609375
430,128,40,Arnoldi,1.212144778414922e-15,0.008680248260498047
431,128,50,Lanzcos,8.91663053790526e-16,0.0051861763000488285
432,128,60,Scipy,0.0,0.0009975433349609375
433,128,70,Arnoldi,1.212144778414922e-15,0.022842049598693848
434,128,80,Lanzcos,8.91663053790526e-16,0.007679414749145508
435,128,90,Scipy,0.0,0.0009975433349609375
436,128,100,Arnoldi,1.212144778414922e-15,0.043784809112548825
437,128,1,Lanzcos,0.0004286964754546021,0.0009999990463256836
438,128,2,Scipy,0.0,0.0009975433349609375
439,128,3,Arnoldi,1.5764630077405874e-12,0.0011967897415161132
440,128,4,Lanzcos,8.91663053790526e-16,0.001598024368286133
441,128,5,Scipy,0.0,0.0009975433349609375
442,128,6,Arnoldi,1.212144778414922e-15,0.0015957117080688476
443,128,7,Lanzcos,8.91663053790526e-16,0.0017975091934204102
444,128,8,Scipy,0.0,0.0009975433349609375
445,128,9,Arnoldi,1.212144778414922e-15,0.0020943403244018553
446,128,10,Lanzcos,8.91663053790526e-16,0.0020972728729248048
